fit,route,acronym,title,scheme,start,end,ec_contribution,coordinator,coord_country,coord_city,coord_url,coord_contact_form,n_partners,partner_institutions,tags,cordis_url
10,PI-HELD GRANT - cold outreach to coordinator,NextBON,Next Generation Biodiversity Observation Network,HORIZON-RIA,2026-10-01,2030-09-30,10999230,KOBENHAVNS UNIVERSITET,DK,KOBENHAVN,http://www.ku.dk,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999991043/101287608,21,UNIVERSITAET FUER BODENKULTUR WIEN (AT) | WAGENINGEN UNIVERSITY (NL) | AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (ES) | INSTITUTUL NATIONAL DE CERCETARE-DEZVOLTARE DELTA DUNARII (RO) | UNIVERSITAT ZURICH (CH) | ERINN INNOVATION LIMITED (IE) | LUONNONVARAKESKUS (FI) | NIBIO - NORSK INSTITUTT FOR BIOOKONOMI (NO) | Aggestam Filip (FR) | GLOBAL BIODIVERSITY INFORMATION FACILITY (DK) | UNIVERSIDAD POLITECNICA DE MADRID (ES) | PROSPEX INSTITUTE (BE) | SVERIGES LANTBRUKSUNIVERSITET (SE) | TAXUS IT SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA (PL) | PANEPISTIMIO AIGAIOU (EL) | UNIVERSITA DEGLI STUDI DI FIRENZE (IT) | UNIVERSIDAD DE MALAGA (ES) | UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA (IT) | STICHTING WAGENINGEN RESEARCH (NL) | INSTITUTUL NATIONAL DE CERCETARE-DEZVOLTARE MARINA GRIGORE ANTIPA (RO) | HUN-REN Balatoni Limnologiai Kutatointezet (HU),"culturomics,biodiv,spatial",https://cordis.europa.eu/project/id/101287608
9,PI-HELD GRANT - cold outreach to coordinator,ArcSolution,Arctic Pollution in a One Health perspective - from complex challenges to sustainable solutions,HORIZON-RIA,2024-08-01,2028-07-31,"6598877,5",NORD UNIVERSITET,NO,BODO,https://www.nord.no/,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/998222927/101135051,14,"OULUN YLIOPISTO (FI) | AARHUS UNIVERSITET (DK) | NORGES MILJO-OG BIOVITENSKAPELIGE UNIVERSITET (NO) | ARCTIC KNOWLEDGE AS (NO) | Ilisimatusarfik (GL) | ALFRED-WEGENER-INSTITUT HELMHOLTZ-ZENTRUM FUR POLAR- UND MEERESFORSCHUNG (DE) | O.A.SYS - OCEAN ATMOSPHERE SYSTEMS GMBH (DE) | NORDLANDSFORSKNING AS (NO) | UNIVERSITETET I TROMSOE - NORGES ARKTISKE UNIVERSITET (NO) | Arctic Monitoring and Assessment Programme Secretariat (NO) | EIDGENOESSISCHES DEPARTEMENT FUER WIRTSCHAFT, BILDUNG UND FORSCHUNG (CH) | Peking University People's Hospital (CN) | MEMORIAL UNIVERSITY OF NEWFOUNDLAND (CA) | SJUKRAHUSVERKID (FO)","zoonotic,culturomics",https://cordis.europa.eu/project/id/101135051
9,"POSTDOC FELLOWSHIP - requires PhD already, not applicable pre-PhD",SOS2030,Towards the 2030 conservation targets in Europe: An assessment of Management Gaps and Opportunities in Marine Protected Areas,HORIZON-TMA-MSCA-PF-EF,2026-04-01,2028-09-30,"262393,2",UNIVERSIDAD DE SANTIAGO DE COMPOSTELA,ES,SANTIAGO DE COMPOSTELA,http://www.usc.es,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999829635/101207173,1,WWF ITALIA (IT),"language,media,biodiv",https://cordis.europa.eu/project/id/101207173
8,PI-HELD GRANT - cold outreach to coordinator,LandSeaLot,Land-Sea interface: Let’s observe together!,HORIZON-RIA,2024-02-01,2028-01-31,"8437021,25",STICHTING DELTARES,NL,Delft,http://www.deltares.nl,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999520302/101134575,22,HELMHOLTZ-ZENTRUM HEREON GMBH (DE) | INSTITUT FRANCAIS DE RECHERCHE POUR L'EXPLOITATION DE LA MER (FR) | INSTITUTUL NATIONAL DE CERCETARE DEZVOLTARE PENTRU GEOLOGIE SI GEOECOLOGIE MARINA - GEOECOMAR (RO) | COVARTEC AS (NO) | MARIENE INFORMATIE SERVICE MARIS BV (NL) | SVERIGES METEOROLOGISKA OCH HYDROLOGISKA INSTITUT (SE) | CONSIGLIO NAZIONALE DELLE RICERCHE (IT) | HELLENIC CENTRE FOR MARINE RESEARCH (EL) | NORCE RESEARCH AS (NO) | UNIVERSITE DE LIEGE (BE) | TRANSEUROPE MARINAS (FR) | +ATLANTIC ASSOCIACAO PARA UM LABORATORIO COLABORATIVO DO ATLANTICO (PT) | SEASCAPE BELGIUM (BE) | ETT SPA (IT) | BROCKMANN CONSULT GMBH (DE) | SUOMEN YMPARISTOKESKUS (FI) | NANTES UNIVERSITE (FR) | UNIVERSITE DU LITTORAL (FR) | CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS (FR) | SORBONNE UNIVERSITE (FR) | THE UNIVERSITY OF STIRLING (UK) | PLYMOUTH MARINE LABORATORY LIMITED (UK),"culturomics,biodiv",https://cordis.europa.eu/project/id/101134575
8,PI-HELD GRANT - cold outreach to coordinator,ProCleanLakes,Integrated emerging approaches for joint protection and restoration of Natural Lakes in the spirit of European life heritage support (ProCleanLakes),HORIZON-IA,2024-06-01,2028-05-31,3968226,UNIVERSITAET FUER BODENKULTUR WIEN,AT,Wien,http://www.boku.ac.at,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999987357/101157886,17,FACULTY OF SCIENCE UNIVERSITY OF ZAGREB (HR) | BIOLOGICKE CENTRUM AV CR VVI (CZ) | GEOPONIKO PANEPISTIMION ATHINON (EL) | ETHNIKO KAI KAPODISTRIAKO PANEPISTIMIO ATHINON (EL) | UNIVERSITA CA' FOSCARI  VENEZIA (IT) | UNIVERSITATEA DUNAREA DE JOS DIN GALATI (RO) | UNIVERSITETET I TROMSOE - NORGES ARKTISKE UNIVERSITET (NO) | INSTITUTUL NATIONAL DE CERCETARE-DEZVOLTARE DELTA DUNARII (RO) | ALTFACTOR SRL (RO) | FUNDACIO INSTITUT CATALA DE RECERCA DE L'AIGUA (ES) | PARIS SCHOOL OF BUSINESS (FR) | ALCHEMIA-NOVA RESEARCH & INNOVATION GEMEINNUTZIGE GMBH (AT) | HELLENIC SOCIETY FOR THE PROTECTION OF NATURE (EL) | KWB KOMPETENZZENTRUM WASSER BERLIN GEMEINNUTZIGE GMBH (DE) | JAVNA USTANOVA PARK PRIRODE VRANSKO JEZERO (HR) | CINTECH SOLUTIONS LTD (CY) | STATSKOG SF (NO),"culturomics,biodiv",https://cordis.europa.eu/project/id/101157886
8,"POSTDOC FELLOWSHIP - requires PhD already, not applicable pre-PhD",SEROTONIN,A Sight for sore Eyes: BRidging PeOple and PollinaTors ThrOugh PolliNator monItoriNg,HORIZON-TMA-MSCA-PF-EF,2026-06-01,2028-05-31,"198557,52",UNIVERZA V LJUBLJANI,SI,Ljubljana,http://www.uni-lj.si,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999923240/101277689,0,,"culturomics,biodiv",https://cordis.europa.eu/project/id/101277689
8,PI-HELD GRANT - cold outreach to coordinator,NAIVE,Neotropical AI-assisted VErtebrate identification through ZooMS,HORIZON-ERC-POC,2026-12-01,2028-05-31,150000,UNIVERSITAT AUTONOMA DE BARCELONA,ES,Cerdanyola Del Valles,http://www.uab.es,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999986484/101334879,1,VERTICAL IMAGINAE SOLUTIONS S.L. (ES),"trade,biodiv",https://cordis.europa.eu/project/id/101334879
8,PI-HELD GRANT - cold outreach to coordinator,TRACES,Tracking Long-Term Resilience in Arctic Sociocultural-Ecological Systems,HORIZON-ERC,2024-01-01,2028-12-31,"1499952,5",RIJKSUNIVERSITEIT GRONINGEN,NL,Groningen,http://www.rug.nl,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999989782/101116504,0,,"culturomics,biodiv",https://cordis.europa.eu/project/id/101116504
8,PI-HELD GRANT - cold outreach to coordinator,ANTHROFUTURE,The anthropology of the future: An art world perspective,HORIZON-ERC,2024-01-01,2028-12-31,2499911,UNIVERSITAT WIEN,AT,WIEN,http://www.univie.ac.at,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999866883/101097302,2,THE UNIVERSITY OF MARYLAND FOUNDATIION INC (US) | University System of Maryland (US),"culturomics,language",https://cordis.europa.eu/project/id/101097302
8,"POSTDOC FELLOWSHIP - requires PhD already, not applicable pre-PhD",CoNFine,Conservation of built heritage: Natural Formulations agaINst bio-dEterioration,HORIZON-TMA-MSCA-PF-GF,2026-01-01,2028-12-31,"256753,2",AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS,ES,MADRID,http://www.csic.es,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999991722/101209275,2,UNIVERSIDAD AUTONOMA DE CAMPECHE (MX) | UNIVERSIDAD JUAREZ AUTONOMA DE TABASCO (MX),"culturomics,biodiv",https://cordis.europa.eu/project/id/101209275
8,PI-HELD GRANT - cold outreach to coordinator,FOUNDATIONS,A Foundation for Empirical Multimodality Research,HORIZON-ERC,2024-05-01,2029-04-30,1999974,HELSINGIN YLIOPISTO,FI,HELSINGIN YLIOPISTO,http://www.helsinki.fi/university/,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999994535/101122047,0,,"culturomics,language",https://cordis.europa.eu/project/id/101122047
8,PI-HELD GRANT - cold outreach to coordinator,INFINITY,Multidimensional knowledge-based annotation for ethical context-aware heritage data life cycles,HORIZON-IA,2026-01-01,2029-06-30,"5971161,21",ALMA MATER STUDIORUM - UNIVERSITA DI BOLOGNA,IT,Bologna,http://www.unibo.it,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999993953/101233051,16,"CONSIGLIO NAZIONALE DELLE RICERCHE (IT) | STORYPACT GMBH (AT) | FRIEDRICH-SCHILLER-UNIVERSITÄT JENA (DE) | STICHTING EUROPEANA (NL) | STICHTING NEDERLANDS INSTITUUT VOORBEELD EN GELUID (NL) | TIME MACHINE ORGANISATION (TMO)- ORGANISATION FUR INTERNATIONALE ZUSAMMENARBEIT IN TECHNOLOGIE UND WISSENSCHAFT UND KULTURELLEM ERBE (AT) | INSTYTUT CHEMII BIOORGANICZNEJ POLSKIEJ AKADEMII NAUK (PL) | DIGITAL PATHS SRL (IT) | FACTS & FILES - HISTORISCHES FORSCHUNGSINSTITUT BERLIN DRAUSCHKE - SCHREIBER PARTNERSCHAFTSGESELLSCHAFT -ARCHIV-, GESCHICHTS- U. LITERATURWISSENSCHAFTLER (DE) | FACTS & FILES DIGITAL SERVICES GMBH (DE) | MINISTERO DELLA CULTURA (IT) | THE UNIVERSITY OF EDINBURGH (UK) | UNIWERSYTET WROCLAWSKI (PL) | EIT CULTURE AND CREATIVITY SOUTH WEST SL (ES) | ECOLE POLYTECHNIQUE FEDERALE DE LAUSANNE (CH) | AIT AUSTRIAN INSTITUTE OF TECHNOLOGY GMBH (AT)","culturomics,language",https://cordis.europa.eu/project/id/101233051
8,"POSTDOC FELLOWSHIP - requires PhD already, not applicable pre-PhD",INFloR,Invasive and Native Flowering phenology Responses to climate change in Mediterranean-type ecosystems,HORIZON-TMA-MSCA-PF-GF,2026-07-01,2029-06-30,"420966,72",UNIVERSIDAD DE SEVILLA,ES,Sevilla,http://www.us.es,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999862518/101275571,2,"THE REGENTS OF THE UNIVERSITY OF CALIFORNIA (US) | Georgia Southern University Research & Service Foundation, Inc. (US)","culturomics,biodiv",https://cordis.europa.eu/project/id/101275571
8,PI-HELD GRANT - cold outreach to coordinator,INNATURE,ENHANCING BIODIVERSITY AND SOCIAL INCLUSION BY TRANSFORMING EUROPE’S LIVING ENVIRONMENTS,HORIZON-IA,2025-09-01,2029-08-31,"4999758,75",TAMPEREEN KORKEAKOULUSAATIO SR,FI,TAMPERE,http://www.tuni.fi,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/902999288/101181560,20,TAMPEREEN KAUPUNKI (FI) | VILLI VYOHYKE RY (FI) | Finnora Oy (FI) | UNIVERSITEIT ANTWERPEN (BE) | UNIVERSITEIT UTRECHT (NL) | KLIMAATPLATFORM ANTWERPEN (BE) | NATUURPUNT STUDIE - VERENIGING VOOR NATUURSTUDIE IN VLAANDEREN (BE) | COMMONS LAB VZW (BE) | OTTO WILLY (BE) | TERRRA BREZOI (RO) | Oras Brezoi (RO) | ATELIER D ARCHITECTURE AUTOGEREE (FR) | KOBENHAVNS UNIVERSITET (DK) | TIL VAEGS (DK) | AKK - ALMENE KUNSTKLUBBER (DK) | THE UNIVERSITY OF SHEFFIELD (UK) | SHEFFIELD HALLAM UNIVERSITY (UK) | REGATHER LIMITED (UK) | STAD ANTWERPEN (BE) | KOBENHAVNS KOMMUNE (DK),"culturomics,biodiv",https://cordis.europa.eu/project/id/101181560
8,"POSTDOC FELLOWSHIP - requires PhD already, not applicable pre-PhD",TIDES,Traditional & Indigenous Knowledge for Decolonizing Environmental Stewardship,HORIZON-TMA-MSCA-PF-EF,2027-09-01,2029-08-31,"209914,56",UNIVERSIDAD DE SANTIAGO DE COMPOSTELA,ES,SANTIAGO DE COMPOSTELA,http://www.usc.es,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999829635/101283715,1,LEIBNIZ-ZENTRUM FUR MARINE TROPENFORSCHUNG (ZMT) GMBH (DE),"language,biodiv,spatial",https://cordis.europa.eu/project/id/101283715
8,PI-HELD GRANT - cold outreach to coordinator,THRIVE,Towards a Harmonised landscape that expands the Role of citizen science in biodIVersity & Ecosystem services monitoring,HORIZON-CSA,2026-09-01,2029-08-31,"3999999,98",ZENTRUM FUR SOZIALE INNOVATION GMBH,AT,Wien,http://www.zsi.at,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/940719872/101289005,15,VEREIN DER EUROPAISCHEN BURGEWISSENSCHAFTEN - ECSA EV (DE) | FONDAZIONE CENTRO EURO-MEDITERRANEOSUI CAMBIAMENTI CLIMATICI (IT) | FUNDACION IBERCIVIS (ES) | INTERNATIONALES INSTITUT FUER ANGEWANDTE SYSTEMANALYSE (AT) | MUSEUM FUR NATURKUNDE - LEIBNIZ-INSTITUT FUR EVOLUTIONS- UND BIODIVERSITATSFORSCHUNG AN DER HUMBOLDT-UNIVERSITAT ZU BERLIN (DE) | MUSEUM NATIONAL D'HISTOIRE NATURELLE (FR) | KOBENHAVNS UNIVERSITET (DK) | NORDISK FOND FOR MILJØ OG UDVIKLING (DK) | NUCLIO NUCLEO INTERACTIVO DE ASTRONOMIA ASSOCIACAO (PT) | STICKYDOT SRL (BE) | CONSORTIUM OF EUROPEAN TAXONOMIC FACILITIES (BE) | CITIZEN SCIENCE GLOBAL PARTNERSHIP (CSGP) - GLOBALE PARTNERSCHAFT FUER BUERGERWISSENSCHAFTEN (GPBW) (AT) | Stichting Observation International (NL) | GLOBAL BIODIVERSITY INFORMATION FACILITY (DK) | THE UNIVERSITY OF HERTFORDSHIRE HIGHER EDUCATION CORPORATION (UK),"culturomics,biodiv",https://cordis.europa.eu/project/id/101289005
8,PI-HELD GRANT - cold outreach to coordinator,BUILDERS,Building Resilience Through Citizen Science-Driven Approaches to Invasive Species,HORIZON-TMA-MSCA-SE,2025-11-01,2029-10-31,716430,UNIVERSITA DEGLI STUDI DI PARMA,IT,PARMA,http://www.unipr.it,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999846028/101235455,10,UNIVERSITAT WIEN (AT) | UNIVERSIDADE DE EVORA (PT) | UNIVERSITA DEGLI STUDI DI FIRENZE (IT) | UNIVERSITATEA DIN ORADEA (RO) | KINDERBURO UNIVERSITAT WIEN GMBH (AT) | Opcina Vrsar (HR) | SPOTTERON GMBH (AT) | UNIVERSIDADE ESTADUAL DE MARINGA (BR) | JRC -JOINT RESEARCH CENTRE- EUROPEAN COMMISSION (BE) | NEMO Nature and Environment Management Operators S.r.l (IT),"culturomics,biodiv",https://cordis.europa.eu/project/id/101235455
